u,rho,P,T,h,gamma,mu,k
-162147.651006711,973.265100671141,10771.6490080732,73.1294375371744,-162136.583468175,-31343.4677303785,9.96843499877043e-05,0.130039055226069
-162147.651006711,981.651006711409,10772.7575873641,73.1300606099559,-162136.676885039,-26838.0873692284,0.000103071249189554,0.12973043216013
-162147.651006711,990.036912751678,10773.8476758641,73.1306732389218,-162136.768738043,-23265.2821280518,0.000106619704800398,0.129558541370032
-162147.651006711,998.422818791946,10774.9197323946,73.1312756844872,-162136.859066134,-19956.8010183458,0.000110339206416183,0.129525478799862
-162147.651006711,1006.80872483221,10775.9742007185,73.1318681984789,-162136.947906972,-16513.0567037512,0.000114239851375679,0.129632730932257
-162147.651006711,1015.19463087248,10777.0115101582,73.1324510244896,-162137.035296992,-12716.5975016697,0.000118332385606452,0.129881195793603
-162147.651006711,1023.58053691275,10778.0320761732,73.1330243982086,-162137.121271447,-8464.86083938646,0.000122628246989233,0.130271206683331
-162147.651006711,1031.96644295302,10779.0363009202,73.1335885477429,-162137.205864455,-3727.56139498814,0.000127139611369187,0.130802558318013
-162147.651006711,1040.35234899329,10780.0245737753,73.1341436939161,-162137.289109049,1478.47248346371,0.00013187944134809,0.131474535076955
-162147.651006711,1048.73825503356,10780.9972718442,73.1346900505605,-162137.371037215,7104.44656821505,0.000136861537997106,0.13228594103486
-162147.651006711,1057.12416107383,10781.9547604376,73.1352278247889,-162137.451679937,13079.8147248448,0.000142100595635761,0.13425824313957
-162147.651006711,1065.51006711409,10782.8973935295,73.1357572172579,-162137.531067232,19320.4135425893,0.000147612259828729,0.134820439579961
-162147.651006711,1073.89597315436,10783.8255141945,73.1362784224168,-162137.609228194,25735.7768741208,0.000153413188758413,0.135889895079758
-162147.651006711,1082.28187919463,10784.7394550236,73.1367916287465,-162137.686191018,32235.8952314427,0.000159521118137704,0.13715666873453
-162147.651006711,1090.6677852349,10785.6395385208,73.1372970189857,-162137.761983047,38737.1733767949,0.00016595492983407,0.138576841297283
-162147.651006711,1099.05369127517,10786.526077485,73.1377947703495,-162137.836630797,45167.1888916061,0.000172734724382995,0.140134407729464
-162147.651006711,1107.43959731544,10787.3993753698,73.1382850547351,-162137.910159986,51467.9425001296,0.000179881897575955,0.141820246519887
-162147.651006711,1115.8255033557,10788.2597266307,73.1387680389201,-162137.982595572,57597.497540309,0.000187419221315453,0.143627488238495
-162147.651006711,1124.21140939597,10789.1074170559,73.1392438847518,-162138.053961773,63530.1286543819,0.000195370928937237,0.145549905217652
-162147.651006711,1132.59731543624,10789.9427240866,73.1397127493297,-162138.124282097,69255.2689530407,0.000203762805207653,0.1475806155564
-162147.651006711,1140.98322147651,10790.7659171121,73.1401747851747,-162138.193579369,74775.6301296619,0.000212622281212151,0.149702447408934
-162147.651006711,1149.36912751678,10791.5772577669,73.1406301403983,-162138.261875754,80104.8740529915,0.000221978534359241,0.151951024070178
-162147.651006711,1157.75503355705,10792.3770002033,73.1410789588586,-162138.329192782,85265.1600106624,0.000231862593732811,0.15430780321595
-162147.651006711,1166.14093959732,10793.1653913603,73.1415213803132,-162138.395551368,90284.8077579853,0.000242307451034484,0.156755386084763
-162147.651006711,1174.52684563758,10793.942671214,73.141957540563,-162138.460971838,95196.227622394,0.000253348177366796,0.159289314053044
-162147.651006711,1182.91275167785,10794.709073024,73.1423875715922,-162138.525473948,100034.191399276,0.00026502204611732,0.161905148261333
-162147.651006711,1191.29865771812,10795.4648235668,73.1428116017015,-162138.589076898,104834.459238726,0.000277368662213449,0.164598491758236
-162147.651006711,1199.68456375839,10796.2101433582,73.1432297556353,-162138.651799361,109632.739206144,0.000290430098027518,0.167365009878222
-162147.651006711,1208.07046979866,10796.9452468678,73.1436421547037,-162138.713659499,114463.934923032,0.000304251036222023,0.170200448825757
-162147.651006711,1216.45637583893,10797.6703427263,73.1440489169009,-162138.774674969,119361.628347098,0.000318878919835263,0.173100652454611
-162147.651006711,1224.84228187919,2572434.19308602,73.4865156115003,-160047.434324822,522.684339988002,0.000333162960156442,0.176139234760198
-162147.651006711,1233.22818791946,11837406.6720905,74.6726920220175,-152548.935385346,118.808504498035,0.0003450757361494,0.179489883335301
-162147.651006711,1241.61409395973,21315714.6665307,75.8073255360311,-144979.90559352,69.0004056969183,0.000357619944784718,0.182959310962871
-162147.651006711,1250,31022891.8075822,76.8926977841209,-137329.337560646,49.5880623256551,0.000370822675124522,0.186521314158372
-159530.201342282,0.5,838.84927236429,60.5733446164926,-157852.502797507,10.5294623995184,4.59568226577344e-06,0.00508682744130971
-159530.201342282,8.88590604026846,6144.46606424577,69.8957445200464,-158838.716868282,-47.0939149018494,5.30942595672142e-06,0.00628181197276847
-159530.201342282,17.2718120805369,8204.19772626232,71.5208388599927,-159055.196305866,-643.257103144138,5.41126485035038e-06,0.0067386494782808
-159530.201342282,25.6577181208054,9383.82067771175,72.3047007304613,-159164.470429129,-3055.47894119119,5.44910041114452e-06,0.00711246910094067
-159530.201342282,34.0436241610738,10158.7924049765,72.7766626739064,-159231.796203131,-9878.75603388675,5.46527666455669e-06,0.00745661469783002
-159530.201342282,42.4295302013423,10709.6825122252,73.0945258049374,-159277.790286553,-25500.2189073244,5.47291374968351e-06,0.00778751149419682
-159530.201342282,50.8154362416107,11122.4078576989,73.3240142517199,-159311.322814805,-56585.3387415127,5.47792271890337e-06,0.00811259215778871
-159530.201342282,59.2013422818792,11443.5762188726,73.4978257553898,-159336.902072741,-112568.55529459,5.48362840589418e-06,0.00843622597643145
-159530.201342282,67.5872483221476,11700.8108994027,73.6341860644552,-159357.079766986,-206132.95112927,5.49221454431794e-06,0.00876160486809501
-159530.201342282,75.9731543624161,11911.577229387,73.7441008877006,-159373.41468087,-353658.87642342,5.50528541723507e-06,0.00909149796426843
-159530.201342282,84.3590604026846,12087.4805461765,73.8346259559405,-159386.915244873,-575614.404271832,5.52411722442159e-06,0.00942860429485156
-159530.201342282,92.744966442953,12236.5434712484,73.9105006450507,-159398.263794179,-896852.152808939,5.54978230096414e-06,0.00977573694660358
-159530.201342282,101.130872483221,12364.4941305796,73.9750299861706,-159407.939031802,-1346767.62094349,5.58321512544338e-06,0.0101359264883866
-159530.201342282,109.51677852349,12475.5341546056,74.0305909248593,-159416.286978447,-1959263.9639573,5.62524935367873e-06,0.0105124807912977
-159530.201342282,117.902684563758,12572.816745014,74.0789376917334,-159423.564103346,-2772457.37472293,5.67663946379382e-06,0.0109090184183513
-159530.201342282,126.288590604027,12658.7552467132,74.1213937382224,-159429.964613165,-3828046.34162278,5.73807380279806e-06,0.0113294841325651
-159530.201342282,134.674496644295,12735.2285689762,74.1589766391065,-159435.63831152,-5170257.57032495,5.81018263709195e-06,0.0117781510694942
-159530.201342282,143.060402684564,12803.7216371295,74.1924818274272,-159440.702631269,-6844271.98751045,5.89354321593292e-06,0.0122596121631572
-159530.201342282,151.446308724832,12865.4236879628,74.2225401969124,-159445.250947674,-8894026.86960463,5.98868301687026e-06,0.012778762424182
-159530.201342282,159.832214765101,12921.2984902689,74.2496586325104,-159449.358450195,-11359285.8218006,6.09608187862203e-06,0.0133407731613289
-159530.201342282,168.218120805369,12972.1354336411,74.2742491034028,-159453.086371721,-14271868.3189311,6.21617346071416e-06,0.0139510589812446
-159530.201342282,176.604026845638,13018.5873104007,74.2966499203719,-159456.485088224,-17650936.2262949,6.34934631090635e-06,0.0146152382802184
-159530.201342282,184.989932885906,13061.1986708212,74.317141517184,-159459.596426289,-21497247.6991992,6.49594472425014e-06,0.0153390878947024
-159530.201342282,193.375838926175,13100.4273890593,74.3359583360474,-159462.455405344,-25786310.7528321,6.65626951620135e-06,0.0161284925708437
-159530.201342282,201.761744966443,13136.6612654438,74.3532978961862,-159465.091570022,-30460401.2415449,6.8305787923178e-06,0.0169893899280469
-159530.201342282,210.147651006711,13170.2309499782,74.3693277956683,-159467.530021014,-35419454.5254327,7.01908877049164e-06,0.0179277116162824
-159530.201342282,218.53355704698,13201.420105006,74.3841911764512,-159469.792221214,-40510898.0225449,7.22197469350348e-06,0.0189493213944972
-159530.201342282,226.919463087248,13230.4734720383,74.3980110326543,-159471.896632354,-45518564.0136166,7.43937185698134e-06,0.0200599508836838
-159530.201342282,235.305369127517,13257.6033306182,74.4108936382371,-159473.859222338,-50150908.7217628,7.6713767687454e-06,0.0212651337700828
-159530.201342282,243.691275167785,13282.9947114049,74.4229312973375,-159475.693872935,-54028864.2084931,7.91804844885687e-06,0.0225701392497937
-159530.201342282,252.077181208054,13306.8096352502,74.4342045685645,-159477.412709961,-56673762.2780608,8.17940987470276e-06,0.0239799055145697
-159530.201342282,260.463087248322,13329.1905843131,74.4447840770983,-159479.026372634,-57495891.2729638,8.45544957165106e-06,0.0254989740790312
-159530.201342282,268.848993288591,13350.2633628553,74.4547320011028,-159480.544234775,-55784372.6989215,8.74612334686365e-06,0.0271314257415726
-159530.201342282,277.234899328859,13370.1394694189,74.4641032988039,-159481.974587636,-50699168.5930535,9.05135616154136e-06,0.0288808189546946
-159530.201342282,285.620805369128,13388.9180751103,74.4729467275626,-159483.324791892,-41266144.1356723,9.37104413504188e-06,0.0307501313554522
-159530.201342282,294.006711409396,13406.6876822729,74.4813056949726,-159484.601404722,-26376203.0480767,9.70505667284943e-06,0.0327417051733762
-159530.201342282,302.392617449664,13423.5275222451,74.4892189734422,-159485.810286589,-4789573.99273651,1.00532387092152e-05,0.0348571971919848
-159530.201342282,310.778523489933,13439.5087388806,74.4967213031529,-159486.956691435,24853658.6133559,1.0415413054372e-05,0.0370975338913336
-159530.201342282,319.164429530201,13454.6953952045,74.5038439032348,-159488.04534321,64015730.0361353,1.07913828355226e-05,0.0394628723435468
-159530.201342282,327.55033557047,13469.1453332972,74.5106149070584,-159489.080501084,114235144.51724,1.11809340202715e-05,0.0419525673716092
-159530.201342282,335.936241610738,13482.9109118049,74.5170597344827,-159490.066015271,177091668.103783,1.15838380108112e-05,0.0445651454146119
-159530.201342282,344.322147651007,13496.0396409138,74.5232014114571,-159491.005374979,254161931.479099,1.19998542969406e-05,0.0472982854709769
-159530.201342282,352.708053691275,13508.5747310582,74.5290608454719,-159491.901749773,346965606.036492,1.24287331559088e-05,0.0501488074157398
-159530.201342282,361.093959731544,13520.5555687369,74.5346570638162,-159492.758025371,456902612.547968,1.28702183870954e-05,0.0531126679096692
-159530.201342282,369.479865771812,13532.0181304918,74.5400074203738,-159493.57683474,585182408.947236,1.33240500696774e-05,0.0561849640377559
-159530.201342282,377.865771812081,13542.9953442276,74.545127775702,-159494.36058518,732747064.619262,1.37899673316665e-05,0.0593599447332956
-159530.201342282,386.251677852349,13553.5174055329,74.550032654339,-159495.111482011,900190535.678396,1.42677111190321e-05,0.0626310299623739
-159530.201342282,394.637583892617,13563.6120554029,74.5547353826274,-159495.831549314,1087677270.96115,1.47570269540398e-05,0.0659908375629227
-159530.201342282,403.023489932886,13573.3048247533,74.5592482098163,-159496.522648201,1294863953.64077,1.52576676724354e-05,0.0694312175535311
-159530.201342282,411.409395973154,13582.6192502708,74.5635824147617,-159497.18649288,1520828761.6286,1.57693961296722e-05,0.0729432936507162
-159530.201342282,419.795302013423,13591.5770654453,74.567748400186,-159497.824664887,1764012948.48043,1.62919878670185e-05,0.0765175116601966
-159530.201342282,428.181208053691,13600.198370046,74.5717557761543,-159498.43862567,2022179740.70624,1.6825233729081e-05,0.0801436943386145
-159530.201342282,436.56711409396,13608.5017808356,74.5756134341837,-159499.029727789,2292395455.88552,1.73689424250337e-05,0.0838111022578097
-159530.201342282,444.953020134228,13616.5045658984,74.5793296131887,-159499.599224868,2571037317.18708,1.79229430266444e-05,0.0875085001448118
-159530.201342282,453.338926174497,13624.2227646226,74.5829119582913,-159500.148280481,2853831638.67059,1.84870873970367e-05,0.0912242281177489
-159530.201342282,461.724832214765,13631.6712950963,74.5863675733836,-159500.677976104,3135924870.44926,1.90612525450071e-05,0.0949462771913233
-159530.201342282,470.110738255034,13638.864050429,74.5897030682016,-159501.189318219,3411988441.41505,1.96453429006334e-05,0.0986623683858414
-159530.201342282,478.496644295302,13645.8139853134,74.5929246005701,-159501.68324472,3676356471.97506,2.02392925088485e-05,0.10236003474129
