u,rho,P,T,h,gamma,mu,k
141744.966442953,264.5,20519384.9596255,256.560908603435,219322.981413173,2.17969061799945,2.32889199058625e-05,0.0382637901414614
141744.966442953,270,21198896.532219,257.775575873468,220259.398043764,2.20710018540479,2.36024551305974e-05,0.0388291186514124
141744.966442953,275.5,21896224.534978,258.987303096364,221223.095426539,2.23488181665634,2.39209193334056e-05,0.0394020115895018
141744.966442953,281,22611978.3535672,260.196135083903,222214.640299064,2.26302614303025,2.42444821430068e-05,0.0399825167626313
141744.966442953,286.5,23346783.3920918,261.402108194267,223234.611790568,2.29152349201574,2.45733202410603e-05,0.0405706811958021
141744.966442953,292,24101281.429955,262.605250359478,224283.601477039,2.32036390005351,2.49076165661472e-05,0.0411665531412789
141744.966442953,297.5,24876130.9802278,263.805581098255,225362.213435315,2.34953712125223,2.52475594312383e-05,0.0417701841044412
141744.966442953,303,25672007.647027,265.003111514841,226471.064287927,2.37903263137557,2.55933415666125e-05,0.0423816308644995
141744.966442953,308.5,26489604.478859,266.197844285417,227610.783230178,2.40883962666854,2.59451591018612e-05,0.0430009574689966
141744.966442953,314,27329632.3142724,267.389773633736,228782.012029808,2.43894701743187,2.63032105020462e-05,0.0436282371818291
141744.966442953,319.5,28192820.1158194,268.578885298709,229985.404990119,2.46934341664211,2.66676954743378e-05,0.0442635543655706
141744.966442953,325,29079915.2880369,269.76515649693,231221.628867682,2.50001712433519,2.70388138624223e-05,0.044907006280008
141744.966442953,330.5,29991683.9751245,270.948555883689,232491.362736824,2.53095610889578,2.74167645466682e-05,0.0455587047800706
141744.966442953,336,30928911.334181,272.129043516313,233795.297794682,2.56214798679537,2.78017443684186e-05,0.0462187778977091
141744.966442953,341.5,31892401.7803117,273.306570823891,235134.137102724,2.59358000266568,2.81939470968407e-05,0.0468873712937446
141744.966442953,347,32882979.2006308,274.4810805874,236508.595263215,2.62523901184877,2.85935624564868e-05,0.0475646495672534
141744.966442953,352.5,33901487.1351549,275.652506934117,237919.398032045,2.65711146770012,2.9000775233113e-05,0.0482507974116508
141744.966442953,358,34948788.9237759,276.820775349785,239367.281872495,2.6891834159114,2.9415764474365e-05,0.0489460206082853
141744.966442953,363.5,36025767.8198687,277.985802711457,240852.993457722,2.72144049794814,2.98387028006862e-05,0.0496505468500238
141744.966442953,369,37133327.0725474,279.147497343188,242377.289132783,2.75386796535897,3.02697558402593e-05,0.0503646263889933
141744.966442953,374.5,38272389.9810628,280.305759095858,243940.934349663,2.78645070621327,3.07090817999839e-05,0.0510885325043235
141744.966442953,380,39443899.9262071,281.46047945144,245544.703090867,2.8191732842854,3.11568311824571e-05,0.0518225617873987
141744.966442953,385.5,40648820.3847773,282.611541650939,247189.377298406,2.85201999086019,3.16131466567033e-05,0.0525670342437613
141744.966442953,391,41888134.9340205,283.758820844259,248875.746325358,2.88497490823371,3.207816308804e-05,0.0533222932123994
141744.966442953,396.5,43162847.2534746,284.902184259226,250604.606426496,2.91802198318331,3.25520077300227e-05,0.0540887051046954
141744.966442953,402,44473981.1316306,286.041491386175,252376.760302731,2.95114510794293,3.30348005789252e-05,0.0548666589667886
141744.966442953,407.5,45822580.4843654,287.176594173874,254193.016711334,2.9843282056065,3.35266548887548e-05,0.0556565658705176
141744.966442953,413,47209709.3911038,288.30733723207,256054.190150226,3.01755531645136,3.40276778424021e-05,0.0564588581394408
141744.966442953,418.5,48636452.1532108,289.433558035834,257961.100620279,3.05081068146882,3.45379713722584e-05,0.0572739884176806
141744.966442953,424,50103913.3772718,290.555087126919,259914.57346482,3.08407881943983,3.5057633121523e-05,0.0581024285904975
141744.966442953,429.5,51613218.083793,291.671748307782,261915.439280655,3.11734459420748,3.55867575355289e-05,0.0589446685665543
141744.966442953,435,53165511.8396044,292.783358824494,263964.53389032,3.15059326935987,3.61254370707597e-05,0.0598012149327921
141744.966442953,440.5,54761960.9100257,293.88972953563,266062.698361286,3.18381054830941,3.6673763507848e-05,0.0606725894936768
141744.966442953,446,56403752.4248333,294.990665065213,268210.779054687,3.21698259868003,3.72318293537578e-05,0.0615593277073076
141744.966442953,451.5,58092094.550407,296.08596393885,270409.627684164,3.25009606091962,3.77997293175724e-05,0.0624619770314769
141744.966442953,457,59828216.6592565,297.175418703342,272660.10136474,3.28313804205981,3.8377561843837e-05,0.0633810951932511
141744.966442953,462.5,61613369.4875451,298.258816031044,274963.06263224,3.31609609646608,3.89654306872508e-05,0.0643172483959793
141744.966442953,468,63448825.2712667,299.335936811211,277319.379415745,3.34895819618389,3.95634465126422e-05,0.0652710094778476
141744.966442953,473.5,65335877.852409,300.406556231325,279729.924948569,3.38171269402979,4.01717285045922e-05,0.0662429560361611
141744.966442953,479,67275842.7476685,301.470443851885,282195.577607188,3.41434828286144,4.07904059717657e-05,0.067233668531474
141744.966442953,484.5,69270057.1739853,302.527363678495,284717.220672025,3.44685395447174,4.1419619931939e-05,0.0682437283854798
141744.966442953,490,71319880.0271822,303.577074235084,287295.742008631,3.47921896130084,4.20595246648531e-05,0.0692737160862495
141744.966442953,495.5,73426691.8121577,304.619328641937,289932.033672333,3.51143278368001,4.27102892213338e-05,0.0703242093139481
141744.966442953,501,75591894.5252297,305.653874701822,292626.991443412,3.54348510466863,4.33720988785663e-05,0.0713957810995989
141744.966442953,506.5,77816911.4911807,306.680454996953,295381.514303132,3.57536579378596,4.40451565329637e-05,0.0724889980287975
141744.966442953,512,80103187.1591926,307.698806998885,298196.503863251,3.60706490014787,4.4729684023673e-05,0.0736044185015242
141744.966442953,517.5,82452186.8630675,308.70866319273,301072.86376289,3.63857265476518,4.5425923381398e-05,0.0747425910583745
141744.966442953,523,84865396.5518582,309.709751216394,304011.499046888,3.66987948110676,4.61341379988392e-05,0.0759040527826362
141744.966442953,528.5,87344322.497276,310.701794014844,307013.315539029,3.70097601252294,4.68546137206227e-05,0.0770893277867101
141744.966442953,534,89890490.984029,311.68451000889,310079.219222034,3.73185311479123,4.75876598520903e-05,0.078298925790393
141744.966442953,539.5,92505447.9886525,312.657613277464,313210.115634153,3.76250191189426,4.83336100877179e-05,0.0795333407975616
141744.966442953,545,95190758.8515174,313.620813752052,316406.909289774,3.79291381315835,4.9092823361193e-05,0.0807930498767879
141744.966442953,550.5,97948007.9456549,314.573817421741,319670.503128975,3.82308054004542,4.98656846203096e-05,0.0820785120504244
141744.966442953,556,100778798.344933,315.516326547212,323001.797998588,3.85299415116238,5.06526055307994e-05,0.0833901672957085
141744.966442953,561.5,103684751.49305,316.448039882046,326401.692165214,3.88264706439246,5.14540251140144e-05,0.0847284356604662
141744.966442953,567,106667506.873875,317.368652899799,329871.080858958,3.91203207541643,5.2270410324006e-05,0.0860937164950553
141744.966442953,572.5,109728721.682896,318.277858025424,333410.855845392,3.94114237224563,5.31022565699952e-05,0.0874863878012737
141744.966442953,578,112870070.498991,319.175344869834,337021.905022523,3.96997154569977,5.39500881905238e-05,0.0889068056980877
141744.966442953,583.5,116093244.955387,320.060800466565,340705.112039161,3.99851359601451,5.48144588857086e-05,0.0903553040031998
141744.966442953,589,119399953.408542,320.933909509712,344461.355931141,4.02676293594444,5.56959521140141e-05,0.0918321939286918
141744.966442953,594.5,122791920.603704,321.794354592482,348291.510772143,4.05471439083734,5.65951814598173e-05,0.0933377638882402
