T_K,P_Pa,state,is_boiling
280,2826850.49019888,liquid,0
280,2895798.06313056,liquid,0
280,2964745.63606224,liquid,0
280,3033693.20899392,liquid,0
280,3102640.7819256,liquid,0
280,3171588.35485728,liquid,0
280,3240535.92778896,liquid,0
280,3309483.50072064,liquid,0
280,3378431.07365232,liquid,0
280,3447378.646584,liquid,0
282,1723689.323292,liquid,0
282,1792636.89622368,liquid,0
282,1861584.46915536,liquid,0
282,1930532.04208704,liquid,0
282,1999479.61501872,liquid,0
282,2068427.1879504,liquid,0
282,2137374.76088208,liquid,0
282,2206322.33381376,liquid,0
282,2275269.90674544,liquid,0
282,2344217.47967712,liquid,0
282,2413165.0526088,liquid,0
282,2482112.62554048,liquid,0
282,2551060.19847216,liquid,0
282,2620007.77140384,liquid,0
282,2688955.34433552,liquid,0
282,2757902.9172672,liquid,0
282,2826850.49019888,liquid,0
282,2895798.06313056,liquid,0
282,2964745.63606224,liquid,0
282,3033693.20899392,liquid,0
282,3102640.7819256,liquid,0
282,3171588.35485728,liquid,0
282,3240535.92778896,liquid,0
282,3309483.50072064,liquid,0
282,3378431.07365232,liquid,0
282,3447378.646584,liquid,0
284,1723689.323292,liquid,0
284,1792636.89622368,liquid,0
284,1861584.46915536,liquid,0
284,1930532.04208704,liquid,0
284,1999479.61501872,liquid,0
284,2068427.1879504,liquid,0
284,2137374.76088208,liquid,0
284,2206322.33381376,liquid,0
284,2275269.90674544,liquid,0
284,2344217.47967712,liquid,0
284,2413165.0526088,liquid,0
284,2482112.62554048,liquid,0
284,2551060.19847216,liquid,0
284,2620007.77140384,liquid,0
284,2688955.34433552,liquid,0
284,2757902.9172672,liquid,0
284,2826850.49019888,liquid,0
284,2895798.06313056,liquid,0
284,2964745.63606224,liquid,0
284,3033693.20899392,liquid,0
284,3102640.7819256,liquid,0
284,3171588.35485728,liquid,0
284,3240535.92778896,liquid,0
284,3309483.50072064,liquid,0
284,3378431.07365232,liquid,0
284,3447378.646584,liquid,0
286,1723689.323292,liquid,0
286,1792636.89622368,liquid,0
286,1861584.46915536,liquid,0
286,1930532.04208704,liquid,0
286,1999479.61501872,liquid,0
286,2068427.1879504,liquid,0
286,2137374.76088208,liquid,0
286,2206322.33381376,liquid,0
286,2275269.90674544,liquid,0
286,2344217.47967712,liquid,0
286,2413165.0526088,liquid,0
286,2482112.62554048,liquid,0
286,2551060.19847216,liquid,0
286,2620007.77140384,liquid,0
286,2688955.34433552,liquid,0
286,2757902.9172672,liquid,0
286,2826850.49019888,liquid,0
286,2895798.06313056,liquid,0
286,2964745.63606224,liquid,0
286,3033693.20899392,liquid,0
286,3102640.7819256,liquid,0
286,3171588.35485728,liquid,0
286,3240535.92778896,liquid,0
286,3309483.50072064,liquid,0
286,3378431.07365232,liquid,0
286,3447378.646584,liquid,0
288,1723689.323292,liquid,0
288,1792636.89622368,liquid,0
288,1861584.46915536,liquid,0
288,1930532.04208704,liquid,0
288,1999479.61501872,liquid,0
288,2068427.1879504,liquid,0
288,2137374.76088208,liquid,0
288,2206322.33381376,liquid,0
288,2275269.90674544,liquid,0
288,2344217.47967712,liquid,0
288,2413165.0526088,liquid,0
288,2482112.62554048,liquid,0
288,2551060.19847216,liquid,0
288,2620007.77140384,liquid,0
288,2688955.34433552,liquid,0
288,2757902.9172672,liquid,0
288,2826850.49019888,liquid,0
288,2895798.06313056,liquid,0
288,2964745.63606224,liquid,0
288,3033693.20899392,liquid,0
288,3102640.7819256,liquid,0
288,3171588.35485728,liquid,0
288,3240535.92778896,liquid,0
288,3309483.50072064,liquid,0
288,3378431.07365232,liquid,0
288,3447378.646584,liquid,0
290,1723689.323292,liquid,0
290,1792636.89622368,liquid,0
290,1861584.46915536,liquid,0
290,1930532.04208704,liquid,0
290,1999479.61501872,liquid,0
290,2068427.1879504,liquid,0
290,2137374.76088208,liquid,0
290,2206322.33381376,liquid,0
290,2275269.90674544,liquid,0
290,2344217.47967712,liquid,0
290,2413165.0526088,liquid,0
290,2482112.62554048,liquid,0
290,2551060.19847216,liquid,0
290,2620007.77140384,liquid,0
290,2688955.34433552,liquid,0
290,2757902.9172672,liquid,0
290,2826850.49019888,liquid,0
290,2895798.06313056,liquid,0
290,2964745.63606224,liquid,0
290,3033693.20899392,liquid,0
290,3102640.7819256,liquid,0
290,3171588.35485728,liquid,0
290,3240535.92778896,liquid,0
290,3309483.50072064,liquid,0
290,3378431.07365232,liquid,0
290,3447378.646584,liquid,0
292,1723689.323292,liquid,0
292,1792636.89622368,liquid,0
292,1861584.46915536,liquid,0
292,1930532.04208704,liquid,0
292,1999479.61501872,liquid,0
292,2068427.1879504,liquid,0
292,2137374.76088208,liquid,0
292,2206322.33381376,liquid,0
292,2275269.90674544,liquid,0
292,2344217.47967712,liquid,0
292,2413165.0526088,liquid,0
292,2482112.62554048,liquid,0
292,2551060.19847216,liquid,0
292,2620007.77140384,liquid,0
292,2688955.34433552,liquid,0
292,2757902.9172672,liquid,0
292,2826850.49019888,liquid,0
292,2895798.06313056,liquid,0
292,2964745.63606224,liquid,0
292,3033693.20899392,liquid,0
292,3102640.7819256,liquid,0
292,3171588.35485728,liquid,0
292,3240535.92778896,liquid,0
292,3309483.50072064,liquid,0
292,3378431.07365232,liquid,0
292,3447378.646584,liquid,0
294,1723689.323292,liquid,0
294,1792636.89622368,liquid,0
294,1861584.46915536,liquid,0
294,1930532.04208704,liquid,0
294,1999479.61501872,liquid,0
294,2068427.1879504,liquid,0
294,2137374.76088208,liquid,0
294,2206322.33381376,liquid,0
294,2275269.90674544,liquid,0
294,2344217.47967712,liquid,0
294,2413165.0526088,liquid,0
294,2482112.62554048,liquid,0
294,2551060.19847216,liquid,0
294,2620007.77140384,liquid,0
294,2688955.34433552,liquid,0
294,2757902.9172672,liquid,0
294,2826850.49019888,liquid,0
294,2895798.06313056,liquid,0
294,2964745.63606224,liquid,0
294,3033693.20899392,liquid,0
294,3102640.7819256,liquid,0
294,3171588.35485728,liquid,0
294,3240535.92778896,liquid,0
294,3309483.50072064,liquid,0
294,3378431.07365232,liquid,0
294,3447378.646584,liquid,0
296,1723689.323292,liquid,0
296,1792636.89622368,liquid,0
296,1861584.46915536,liquid,0
296,1930532.04208704,liquid,0
296,1999479.61501872,liquid,0
296,2068427.1879504,liquid,0
296,2137374.76088208,liquid,0
296,2206322.33381376,liquid,0
296,2275269.90674544,liquid,0
296,2344217.47967712,liquid,0
296,2413165.0526088,liquid,0
296,2482112.62554048,liquid,0
296,2551060.19847216,liquid,0
296,2620007.77140384,liquid,0
296,2688955.34433552,liquid,0
296,2757902.9172672,liquid,0
296,2826850.49019888,liquid,0
296,2895798.06313056,liquid,0
296,2964745.63606224,liquid,0
296,3033693.20899392,liquid,0
296,3102640.7819256,liquid,0
296,3171588.35485728,liquid,0
296,3240535.92778896,liquid,0
296,3309483.50072064,liquid,0
296,3378431.07365232,liquid,0
296,3447378.646584,liquid,0
298,1723689.323292,liquid,0
298,1792636.89622368,liquid,0
298,1861584.46915536,liquid,0
298,1930532.04208704,liquid,0
298,1999479.61501872,liquid,0
298,2068427.1879504,liquid,0
