T_K,P_Pa,rho_kg_m3
280,2826850.49019888,796.1783439
280,2895798.06313056,796.1783439
280,2964745.63606224,796.1783439
280,3033693.20899392,796.199719043621
280,3102640.7819256,796.243459735522
280,3171588.35485728,796.287200427422
280,3240535.92778896,796.330941119322
280,3309483.50072064,796.374681811223
280,3378431.07365232,796.418422503124
280,3447378.646584,796.462163195024
282,1723689.323292,794.454200339768
282,1792636.89622368,794.506605646959
282,1861584.46915536,794.55901095415
282,1930532.04208704,794.61141626134
282,1999479.61501872,794.663821568531
282,2068427.1879504,794.681416539189
282,2137374.76088208,794.698746779162
282,2206322.33381376,794.716077019135
282,2275269.90674544,794.733407259108
282,2344217.47967712,794.750737499081
282,2413165.0526088,794.768067739054
282,2482112.62554048,794.785397979027
282,2551060.19847216,794.802728219
282,2620007.77140384,794.820058458972
282,2688955.34433552,794.837388698945
282,2757902.9172672,794.854718938918
282,2826850.49019888,794.872049178891
282,2895798.06313056,794.889379418864
282,2964745.63606224,794.906709658837
282,3033693.20899392,794.936878427226
282,3102640.7819256,794.980480589662
282,3171588.35485728,795.0240827521
282,3240535.92778896,795.067684914536
282,3309483.50072064,795.111287076973
282,3378431.07365232,795.15488923941
282,3447378.646584,795.198491401847
284,1723689.323292,793.080084713256
284,1792636.89622368,793.097553148986
284,1861584.46915536,793.115021584716
284,1930532.04208704,793.132490020447
284,1999479.61501872,793.149958456177
284,2068427.1879504,793.184489178378
284,2137374.76088208,793.219149658324
284,2206322.33381376,793.25381013827
284,2275269.90674544,793.288470618215
284,2344217.47967712,793.323131098161
284,2413165.0526088,793.357791578107
284,2482112.62554048,793.392452058053
284,2551060.19847216,793.427112537999
284,2620007.77140384,793.461773017945
284,2688955.34433552,793.496433497891
284,2757902.9172672,793.531093977837
284,2826850.49019888,793.565754457783
284,2895798.06313056,793.600414937729
284,2964745.63606224,793.635075417675
284,3033693.20899392,793.67403781083
284,3102640.7819256,793.717501443803
284,3171588.35485728,793.760965076777
284,3240535.92778896,793.80442870975
284,3309483.50072064,793.847892342724
284,3378431.07365232,793.891355975697
284,3447378.646584,793.934819608671
286,1723689.323292,791.64312814
286,1792636.89622368,791.64312814
286,1861584.46915536,791.64312814
286,1930532.04208704,791.64312814
286,1999479.61501872,791.64312814
286,2068427.1879504,791.686045512163
286,2137374.76088208,791.729289268568
286,2206322.33381376,791.772533024974
286,2275269.90674544,791.815776781379
286,2344217.47967712,791.859020537785
286,2413165.0526088,791.90226429419
286,2482112.62554048,791.945508050596
286,2551060.19847216,791.988751807001
286,2620007.77140384,792.031995563406
286,2688955.34433552,792.075239319812
286,2757902.9172672,792.118483076217
286,2826850.49019888,792.161726832623
286,2895798.06313056,792.204970589028
286,2964745.63606224,792.248214345433
286,3033693.20899392,792.291491613105
286,3102640.7819256,792.334803944766
286,3171588.35485728,792.378116276428
286,3240535.92778896,792.421428608089
286,3309483.50072064,792.46474093975
286,3378431.07365232,792.508053271412
286,3447378.646584,792.551365603073
288,1723689.323292,790.14333062
288,1792636.89622368,790.14333062
288,1861584.46915536,790.14333062
288,1930532.04208704,790.14333062
288,1999479.61501872,790.14333062
288,2068427.1879504,790.186085540544
288,2137374.76088208,790.229165609896
288,2206322.33381376,790.272245679248
288,2275269.90674544,790.315325748599
288,2344217.47967712,790.35840581795
288,2413165.0526088,790.401485887302
288,2482112.62554048,790.444565956653
288,2551060.19847216,790.487646026005
288,2620007.77140384,790.530726095356
288,2688955.34433552,790.573806164708
288,2757902.9172672,790.616886234059
288,2826850.49019888,790.659966303411
288,2895798.06313056,790.703046372762
288,2964745.63606224,790.746126442114
288,3033693.20899392,790.789239834049
288,3102640.7819256,790.83238809255
288,3171588.35485728,790.875536351051
288,3240535.92778896,790.918684609552
288,3309483.50072064,790.961832868053
288,3378431.07365232,791.004981126555
288,3447378.646584,791.048129385056
290,1723689.323292,788.6435331
290,1792636.89622368,788.6435331
290,1861584.46915536,788.6435331
290,1930532.04208704,788.6435331
290,1999479.61501872,788.6435331
290,2068427.1879504,788.686125568926
290,2137374.76088208,788.729041951224
290,2206322.33381376,788.771958333521
290,2275269.90674544,788.814874715819
290,2344217.47967712,788.857791098116
290,2413165.0526088,788.900707480414
290,2482112.62554048,788.943623862711
290,2551060.19847216,788.986540245009
290,2620007.77140384,789.029456627306
290,2688955.34433552,789.072373009604
290,2757902.9172672,789.115289391902
290,2826850.49019888,789.158205774199
290,2895798.06313056,789.201122156497
290,2964745.63606224,789.244038538794
290,3033693.20899392,789.286988054993
290,3102640.7819256,789.329972240334
290,3171588.35485728,789.372956425675
290,3240535.92778896,789.415940611016
290,3309483.50072064,789.458924796356
290,3378431.07365232,789.501908981697
290,3447378.646584,789.544893167038
292,1723689.323292,787.268203531491
292,1792636.89622368,787.30221387995
292,1861584.46915536,787.33622422841
292,1930532.04208704,787.37023457687
292,1999479.61501872,787.404244925329
292,2068427.1879504,787.446960467051
292,2137374.76088208,787.489742211286
292,2206322.33381376,787.532523955521
292,2275269.90674544,787.575305699756
292,2344217.47967712,787.618087443991
292,2413165.0526088,787.660869188226
292,2482112.62554048,787.703650932461
292,2551060.19847216,787.746432676696
292,2620007.77140384,787.789214420931
292,2688955.34433552,787.831996165166
292,2757902.9172672,787.874777909401
292,2826850.49019888,787.917559653636
292,2895798.06313056,787.960341397871
292,2964745.63606224,788.003123142106
292,3033693.20899392,788.045937863906
292,3102640.7819256,788.088787091268
292,3171588.35485728,788.131636318629
292,3240535.92778896,788.174485545991
292,3309483.50072064,788.217334773352
292,3378431.07365232,788.260184000714
292,3447378.646584,788.303033228075
294,1723689.323292,785.892873962981
294,1792636.89622368,785.9608946599
294,1861584.46915536,786.02891535682
294,1930532.04208704,786.096936053739
294,1999479.61501872,786.164956750658
294,2068427.1879504,786.207795365175
294,2137374.76088208,786.250442471348
294,2206322.33381376,786.29308957752
294,2275269.90674544,786.335736683693
294,2344217.47967712,786.378383789865
294,2413165.0526088,786.421030896037
294,2482112.62554048,786.46367800221
294,2551060.19847216,786.506325108382
294,2620007.77140384,786.548972214555
294,2688955.34433552,786.591619320728
294,2757902.9172672,786.6342664269
294,2826850.49019888,786.676913533072
294,2895798.06313056,786.719560639245
294,2964745.63606224,786.762207745418
294,3033693.20899392,786.804887672819
294,3102640.7819256,786.847601942201
294,3171588.35485728,786.890316211583
294,3240535.92778896,786.933030480965
294,3309483.50072064,786.975744750348
294,3378431.07365232,787.01845901973
294,3447378.646584,787.061173289112
296,1723689.323292,784.468821695349
296,1792636.89622368,784.553688457563
296,1861584.46915536,784.638555219777
296,1930532.04208704,784.723421981991
296,1999479.61501872,784.808288744205
296,2068427.1879504,784.85110855272
296,2137374.76088208,784.893608596478
296,2206322.33381376,784.936108640235
296,2275269.90674544,784.978608683992
296,2344217.47967712,785.02110872775
296,2413165.0526088,785.063608771507
296,2482112.62554048,785.106108815264
296,2551060.19847216,785.148608859022
296,2620007.77140384,785.191108902779
296,2688955.34433552,785.233608946536
296,2757902.9172672,785.276108990294
296,2826850.49019888,785.318609034051
296,2895798.06313056,785.361109077808
296,2964745.63606224,785.403609121566
296,3033693.20899392,785.446141816064
296,3102640.7819256,785.488708674156
296,3171588.35485728,785.531275532249
296,3240535.92778896,785.573842390341
296,3309483.50072064,785.616409248434
296,3378431.07365232,785.658976106526
296,3447378.646584,785.701542964618
298,1723689.323292,782.996046728594
298,1792636.89622368,783.080595272937
298,1861584.46915536,783.165143817281
298,1930532.04208704,783.249692361625
298,1999479.61501872,783.334240905969
298,2068427.1879504,783.376900029686
298,2137374.76088208,783.419240586676
298,2206322.33381376,783.461581143665
298,2275269.90674544,783.503921700655
298,2344217.47967712,783.546262257644
298,2413165.0526088,783.588602814634
298,2482112.62554048,783.630943371623
298,2551060.19847216,783.673283928613
298,2620007.77140384,783.715624485603
298,2688955.34433552,783.757965042592
298,2757902.9172672,783.800305599582
298,2826850.49019888,783.842646156571
298,2895798.06313056,783.884986713561
298,2964745.63606224,783.92732727055
298,3033693.20899392,783.969700293642
298,3102640.7819256,784.012107287134
298,3171588.35485728,784.054514280626
298,3240535.92778896,784.096921274118
298,3309483.50072064,784.139328267609
