T_K,P_Pa,boiling_T_K
292,1792636.89622368,454.961710568081
292,1861584.46915536,456.750892983299
292,1930532.04208704,458.537099535934
292,1999479.61501872,460.301439976298
292,2068427.1879504,461.966840288657
292,2137374.76088208,463.632240601016
292,2206322.33381376,465.276285511519
292,2275269.90674544,466.822195218508
292,2344217.47967712,468.368104925496
292,2413165.0526088,469.914014632484
292,2482112.62554048,471.362188818838
292,2551060.19847216,472.804606662597
292,2620007.77140384,474.247024506356
292,2688955.34433552,475.643659069053
292,2757902.9172672,476.990291352875
292,2826850.49019888,478.336923636697
292,2895798.06313056,479.683555920519
292,2964745.63606224,480.959011564768
292,3033693.20899392,482.212603799889
292,3102640.7819256,483.466196035011
292,3171588.35485728,484.719788270132
292,3240535.92778896,485.907388606593
292,3309483.50072064,487.075991537638
292,3378431.07365232,488.244594468683
292,3447378.646584,489.413197399729
294,1723689.323292,453.024980991348
294,1792636.89622368,454.961710568081
294,1861584.46915536,456.750892983299
294,1930532.04208704,458.537099535934
294,1999479.61501872,460.301439976298
294,2068427.1879504,461.966840288657
294,2137374.76088208,463.632240601016
294,2206322.33381376,465.276285511519
294,2275269.90674544,466.822195218508
294,2344217.47967712,468.368104925496
294,2413165.0526088,469.914014632484
294,2482112.62554048,471.362188818838
294,2551060.19847216,472.804606662597
294,2620007.77140384,474.247024506356
294,2688955.34433552,475.643659069053
294,2757902.9172672,476.990291352875
294,2826850.49019888,478.336923636697
294,2895798.06313056,479.683555920519
294,2964745.63606224,480.959011564768
294,3033693.20899392,482.212603799889
294,3102640.7819256,483.466196035011
294,3171588.35485728,484.719788270132
294,3240535.92778896,485.907388606593
294,3309483.50072064,487.075991537638
294,3378431.07365232,488.244594468683
294,3447378.646584,489.413197399729
296,1723689.323292,453.024980991348
296,1792636.89622368,454.961710568081
296,1861584.46915536,456.750892983299
296,1930532.04208704,458.537099535934
296,1999479.61501872,460.301439976298
296,2068427.1879504,461.966840288657
296,2137374.76088208,463.632240601016
296,2206322.33381376,465.276285511519
296,2275269.90674544,466.822195218508
296,2344217.47967712,468.368104925496
296,2413165.0526088,469.914014632484
296,2482112.62554048,471.362188818838
296,2551060.19847216,472.804606662597
296,2620007.77140384,474.247024506356
296,2688955.34433552,475.643659069053
296,2757902.9172672,476.990291352875
296,2826850.49019888,478.336923636697
296,2895798.06313056,479.683555920519
296,2964745.63606224,480.959011564768
