T_K,P_Pa,k_W_m_K
278,3447378.646584,0.141413682322973
280,1723689.323292,0.139927201758818
280,1792636.89622368,0.13995555663649
280,1861584.46915536,0.139983911514162
280,1930532.04208704,0.140012266391834
280,1999479.61501872,0.140040621269506
280,2068427.1879504,0.140068976147178
280,2137374.76088208,0.140097331024849
280,2206322.33381376,0.140125685902521
280,2275269.90674544,0.140154040780193
280,2344217.47967712,0.140182395657865
280,2413165.0526088,0.140210750535537
280,2482112.62554048,0.140239105413209
280,2551060.19847216,0.140267460290881
280,2620007.77140384,0.140295815168553
280,2688955.34433552,0.140324170046225
280,2757902.9172672,0.140352524923897
280,2826850.49019888,0.140380879801569
280,2895798.06313056,0.140409234679241
280,2964745.63606224,0.140437589556913
280,3033693.20899392,0.140465944434585
280,3102640.7819256,0.140494299312256
280,3171588.35485728,0.140522654189928
280,3240535.92778896,0.1405510090676
280,3309483.50072064,0.140579363945272
280,3378431.07365232,0.140607718822944
280,3447378.646584,0.140636073700616
282,1723689.323292,0.139123368918038
282,1792636.89622368,0.139151560906853
282,1861584.46915536,0.139179752895669
282,1930532.04208704,0.139207944884484
282,1999479.61501872,0.1392361368733
282,2068427.1879504,0.139264328862116
282,2137374.76088208,0.139292520850931
282,2206322.33381376,0.139320712839747
282,2275269.90674544,0.139348904828562
282,2344217.47967712,0.139377096817378
282,2413165.0526088,0.139405288806193
282,2482112.62554048,0.139433480795009
282,2551060.19847216,0.139461672783824
282,2620007.77140384,0.13948986477264
282,2688955.34433552,0.139518056761456
282,2757902.9172672,0.139546248750271
282,2826850.49019888,0.139574440739087
282,2895798.06313056,0.139602632727902
282,2964745.63606224,0.139630824716718
282,3033693.20899392,0.139659016705533
282,3102640.7819256,0.139687208694349
282,3171588.35485728,0.139715400683164
282,3240535.92778896,0.13974359267198
282,3309483.50072064,0.139771784660796
282,3378431.07365232,0.139799976649611
282,3447378.646584,0.139828168638427
284,1723689.323292,0.138490350555923
284,1792636.89622368,0.138518414269764
284,1861584.46915536,0.138546477983606
