T_K,P_Pa,mu_Pa_s
276,2344217.47967712,0.00416230369405631
276,2413165.0526088,0.00416387015742481
276,2482112.62554048,0.00416543721032442
276,2551060.19847216,0.00416700485297699
276,2620007.77140384,0.00416857308560448
276,2688955.34433552,0.00417014190842893
276,2757902.9172672,0.00417171132167245
276,2826850.49019888,0.00417328132555725
276,2895798.06313056,0.0041748519203056
276,2964745.63606224,0.00417642310613988
276,3033693.20899392,0.00417799488328255
276,3102640.7819256,0.00417956725195612
276,3171588.35485728,0.00418114021238324
276,3240535.92778896,0.00418271376478659
276,3309483.50072064,0.00418428790938897
276,3378431.07365232,0.00418586264641325
276,3447378.646584,0.00418743797608238
278,1723689.323292,0.00389007455700451
278,1792636.89622368,0.00389153856822095
278,1861584.46915536,0.00389300313041109
278,1930532.04208704,0.00389446824378232
278,1999479.61501872,0.00389593390854205
278,2068427.1879504,0.0038974001248978
278,2137374.76088208,0.00389886689305717
278,2206322.33381376,0.00390033421322781
278,2275269.90674544,0.00390180208561748
278,2344217.47967712,0.00390327051043401
278,2413165.0526088,0.00390473948788529
278,2482112.62554048,0.00390620901817931
278,2551060.19847216,0.00390767910152412
278,2620007.77140384,0.00390914973812787
278,2688955.34433552,0.00391062092819877
278,2757902.9172672,0.00391209267194511
278,2826850.49019888,0.00391356496957528
278,2895798.06313056,0.00391503782129772
278,2964745.63606224,0.00391651122732095
278,3033693.20899392,0.0039179851878536
278,3102640.7819256,0.00391945970310434
278,3171588.35485728,0.00392093477328194
278,3240535.92778896,0.00392241039859525
278,3309483.50072064,0.00392388657925319
278,3378431.07365232,0.00392536331546476
278,3447378.646584,0.00392684060743904
280,1723689.323292,0.00364928275412933
280,1792636.89622368,0.00365065614448617
280,1861584.46915536,0.00365203005171199
280,1930532.04208704,0.00365340447600132
280,1999479.61501872,0.00365477941754875
280,2068427.1879504,0.00365615487654895
280,2137374.76088208,0.00365753085319666
280,2206322.33381376,0.00365890734768669
280,2275269.90674544,0.00366028436021393
280,2344217.47967712,0.00366166189097334
280,2413165.0526088,0.00366303994015996
280,2482112.62554048,0.00366441850796889
280,2551060.19847216,0.00366579759459531
280,2620007.77140384,0.00366717720023449
280,2688955.34433552,0.00366855732508174
280,2757902.9172672,0.00366993796933247
280,2826850.49019888,0.00367131913318215
280,2895798.06313056,0.00367270081682634
280,2964745.63606224,0.00367408302046065
280,3033693.20899392,0.00367546574428078
280,3102640.7819256,0.0036768489884825
280,3171588.35485728,0.00367823275326165
280,3240535.92778896,0.00367961703881415
280,3309483.50072064,0.00368100184533599
280,3378431.07365232,0.00368238717302324
280,3447378.646584,0.00368377302207203
282,1723689.323292,0.00342548341446653
282,1792636.89622368,0.00342677257899718
282,1861584.46915536,0.00342806222869882
282,1930532.04208704,0.00342935236375405
282,1999479.61501872,0.00343064298434552
282,2068427.1879504,0.00343193409065596
282,2137374.76088208,0.00343322568286818
282,2206322.33381376,0.00343451776116504
282,2275269.90674544,0.00343581032572947
282,2344217.47967712,0.00343710337674448
282,2413165.0526088,0.00343839691439314
282,2482112.62554048,0.00343969093885859
282,2551060.19847216,0.00344098545032406
282,2620007.77140384,0.0034422804489728
282,2688955.34433552,0.00344357593498819
282,2757902.9172672,0.00344487190855362
282,2826850.49019888,0.0034461683698526
282,2895798.06313056,0.00344746531906867
282,2964745.63606224,0.00344876275638547
282,3033693.20899392,0.00345006068198668
282,3102640.7819256,0.00345135909605607
282,3171588.35485728,0.00345265799877747
282,3240535.92778896,0.00345395739033479
282,3309483.50072064,0.00345525727091199
282,3378431.07365232,0.00345655764069312
282,3447378.646584,0.00345785849986229
284,1723689.323292,0.00321608373590511
284,1792636.89622368,0.00321729409385413
284,1861584.46915536,0.00321850490731565
284,1930532.04208704,0.00321971617646111
284,1999479.61501872,0.00322092790146201
284,2068427.1879504,0.00322214008248989
284,2137374.76088208,0.00322335271971639
284,2206322.33381376,0.00322456581331319
284,2275269.90674544,0.00322577936345204
284,2344217.47967712,0.00322699337030477
284,2413165.0526088,0.00322820783404325
284,2482112.62554048,0.00322942275483944
284,2551060.19847216,0.00323063813286533
284,2620007.77140384,0.00323185396829302
284,2688955.34433552,0.00323307026129463
284,2757902.9172672,0.00323428701204239
284,2826850.49019888,0.00323550422070854
284,2895798.06313056,0.00323672188746544
284,2964745.63606224,0.00323794001248549
284,3033693.20899392,0.00323915859594114
284,3102640.7819256,0.00324037763800492
284,3171588.35485728,0.00324159713884944
284,3240535.92778896,0.00324281709864735
284,3309483.50072064,0.00324403751757138
284,3378431.07365232,0.00324525839579432
284,3447378.646584,0.00324647973348902
286,1723689.323292,0.00302117073040434
286,1792636.89622368,0.00302230773376283
286,1861584.46915536,0.00302344516502716
286,1930532.04208704,0.00302458302435839
286,1999479.61501872,0.00302572131191761
286,2068427.1879504,0.00302686002786599
286,2137374.76088208,0.00302799917236475
286,2206322.33381376,0.00302913874557516
286,2275269.90674544,0.00303027874765858
286,2344217.47967712,0.00303141917877641
286,2413165.0526088,0.00303256003909011
286,2482112.62554048,0.00303370132876122
286,2551060.19847216,0.00303484304795131
286,2620007.77140384,0.00303598519682203
286,2688955.34433552,0.00303712777553509
286,2757902.9172672,0.00303827078425227
286,2826850.49019888,0.00303941422313538
286,2895798.06313056,0.00304055809234633
286,2964745.63606224,0.00304170239204706
286,3033693.20899392,0.00304284712239959
286,3102640.7819256,0.00304399228356599
286,3171588.35485728,0.00304513787570839
286,3240535.92778896,0.003046283898989
286,3309483.50072064,0.00304743035357006
286,3378431.07365232,0.0030485772396139
286,3447378.646584,0.00304972455728289
288,1723689.323292,0.0028391077991965
288,1792636.89622368,0.00284017628402932
288,1861584.46915536,0.00284124517098136
288,1930532.04208704,0.00284231446020397
288,1999479.61501872,0.00284338415184853
288,2068427.1879504,0.0028444542460665
288,2137374.76088208,0.00284552474300939
288,2206322.33381376,0.00284659564282875
288,2275269.90674544,0.00284766694567621
288,2344217.47967712,0.00284873865170344
288,2413165.0526088,0.00284981076106218
288,2482112.62554048,0.00285088327390423
288,2551060.19847216,0.00285195619038142
288,2620007.77140384,0.00285302951064568
288,2688955.34433552,0.00285410323484895
288,2757902.9172672,0.00285517736314326
288,2826850.49019888,0.0028562518956807
288,2895798.06313056,0.00285732683261338
288,2964745.63606224,0.00285840217409351
288,3033693.20899392,0.00285947792027334
288,3102640.7819256,0.00286055407130517
288,3171588.35485728,0.00286163062734137
