T_K,P_Pa,cp_J_kg_K
280,1861584.46915536,2370
280,1930532.04208704,2370
280,1999479.61501872,2370
280,2068427.1879504,2370
280,2137374.76088208,2370
280,2206322.33381376,2370
280,2275269.90674544,2370
280,2344217.47967712,2370
280,2413165.0526088,2370
280,2482112.62554048,2370
280,2551060.19847216,2370
280,2620007.77140384,2370
280,2688955.34433552,2370
280,2757902.9172672,2370
280,2826850.49019888,2370
280,2895798.06313056,2370
280,2964745.63606224,2370
280,3033693.20899392,2370
280,3102640.7819256,2370
280,3171588.35485728,2370
280,3240535.92778896,2370
280,3309483.50072064,2370
280,3378431.07365232,2370
280,3447378.646584,2370
282,1723689.323292,2390
282,1792636.89622368,2390
282,1861584.46915536,2390
282,1930532.04208704,2390
282,1999479.61501872,2390
282,2068427.1879504,2390
282,2137374.76088208,2390
282,2206322.33381376,2390
282,2275269.90674544,2390
282,2344217.47967712,2390
282,2413165.0526088,2390
282,2482112.62554048,2390
282,2551060.19847216,2390
282,2620007.77140384,2390
282,2688955.34433552,2390
282,2757902.9172672,2390
282,2826850.49019888,2390
282,2895798.06313056,2390
282,2964745.63606224,2390
282,3033693.20899392,2390
282,3102640.7819256,2390
282,3171588.35485728,2390
282,3240535.92778896,2390
282,3309483.50072064,2390
282,3378431.07365232,2390
282,3447378.646584,2390
284,1723689.323292,2410
284,1792636.89622368,2410
284,1861584.46915536,2410
284,1930532.04208704,2410
284,1999479.61501872,2410
284,2068427.1879504,2410
284,2137374.76088208,2410
284,2206322.33381376,2410
284,2275269.90674544,2410
284,2344217.47967712,2410
284,2413165.0526088,2410
284,2482112.62554048,2410
284,2551060.19847216,2410
284,2620007.77140384,2410
284,2688955.34433552,2410
284,2757902.9172672,2410
284,2826850.49019888,2410
284,2895798.06313056,2410
284,2964745.63606224,2410
284,3033693.20899392,2410
284,3102640.7819256,2410
284,3171588.35485728,2410
284,3240535.92778896,2410
284,3309483.50072064,2410
284,3378431.07365232,2410
284,3447378.646584,2410
286,1723689.323292,2432
286,1792636.89622368,2432
286,1861584.46915536,2432
286,1930532.04208704,2432
286,1999479.61501872,2432
286,2068427.1879504,2432
286,2137374.76088208,2432
286,2206322.33381376,2432
286,2275269.90674544,2432
286,2344217.47967712,2432
286,2413165.0526088,2432
286,2482112.62554048,2432
286,2551060.19847216,2432
286,2620007.77140384,2432
286,2688955.34433552,2432
286,2757902.9172672,2432
286,2826850.49019888,2432
286,2895798.06313056,2432
286,2964745.63606224,2432
286,3033693.20899392,2432
286,3102640.7819256,2432
286,3171588.35485728,2432
286,3240535.92778896,2432
286,3309483.50072064,2432
286,3378431.07365232,2432
286,3447378.646584,2432
288,1723689.323292,2456
288,1792636.89622368,2456
288,1861584.46915536,2456
288,1930532.04208704,2456
288,1999479.61501872,2456
288,2068427.1879504,2456
288,2137374.76088208,2456
288,2206322.33381376,2456
288,2275269.90674544,2456
288,2344217.47967712,2456
288,2413165.0526088,2456
288,2482112.62554048,2456
288,2551060.19847216,2456
288,2620007.77140384,2456
288,2688955.34433552,2456
288,2757902.9172672,2456
288,2826850.49019888,2456
288,2895798.06313056,2456
288,2964745.63606224,2456
288,3033693.20899392,2456
288,3102640.7819256,2456
288,3171588.35485728,2456
288,3240535.92778896,2456
288,3309483.50072064,2456
288,3378431.07365232,2456
288,3447378.646584,2456
290,1723689.323292,2480
290,1792636.89622368,2480
290,1861584.46915536,2480
290,1930532.04208704,2480
290,1999479.61501872,2480
290,2068427.1879504,2480
290,2137374.76088208,2480
290,2206322.33381376,2480
290,2275269.90674544,2480
290,2344217.47967712,2480
290,2413165.0526088,2480
290,2482112.62554048,2480
290,2551060.19847216,2480
290,2620007.77140384,2480
290,2688955.34433552,2480
290,2757902.9172672,2480
290,2826850.49019888,2480
290,2895798.06313056,2480
290,2964745.63606224,2480
290,3033693.20899392,2480
290,3102640.7819256,2480
290,3171588.35485728,2480
290,3240535.92778896,2480
290,3309483.50072064,2480
290,3378431.07365232,2480
290,3447378.646584,2480
292,1723689.323292,2508
292,1792636.89622368,2508
292,1861584.46915536,2508
292,1930532.04208704,2508
292,1999479.61501872,2508
292,2068427.1879504,2507.7262912482
292,2137374.76088208,2507.45050095647
292,2206322.33381376,2507.17471066474
292,2275269.90674544,2506.89892037302
292,2344217.47967712,2506.62313008129
292,2413165.0526088,2506.34733978956
292,2482112.62554048,2506.07154949784
292,2551060.19847216,2505.79575920611
292,2620007.77140384,2505.51996891438
292,2688955.34433552,2505.24417862266
292,2757902.9172672,2504.96838833093
292,2826850.49019888,2504.6925980392
292,2895798.06313056,2504.41680774748
292,2964745.63606224,2504.14101745575
292,3033693.20899392,2504
292,3102640.7819256,2504
292,3171588.35485728,2504
292,3240535.92778896,2504
292,3309483.50072064,2504
292,3378431.07365232,2504
292,3447378.646584,2504
294,1723689.323292,2536
294,1792636.89622368,2536
294,1861584.46915536,2536
294,1930532.04208704,2536
294,1999479.61501872,2536
294,2068427.1879504,2535.4525824964
294,2137374.76088208,2534.90100191294
294,2206322.33381376,2534.34942132949
294,2275269.90674544,2533.79784074604
294,2344217.47967712,2533.24626016258
294,2413165.0526088,2532.69467957913
294,2482112.62554048,2532.14309899568
294,2551060.19847216,2531.59151841222
294,2620007.77140384,2531.03993782877
294,2688955.34433552,2530.48835724532
294,2757902.9172672,2529.93677666186
294,2826850.49019888,2529.38519607841
294,2895798.06313056,2528.83361549496
294,2964745.63606224,2528.2820349115
294,3033693.20899392,2528
294,3102640.7819256,2528
294,3171588.35485728,2528
294,3240535.92778896,2528
294,3309483.50072064,2528
294,3378431.07365232,2528
294,3447378.646584,2528
296,1723689.323292,2562
296,1792636.89622368,2562
296,1861584.46915536,2562
296,1930532.04208704,2562
296,1999479.61501872,2562
296,2068427.1879504,2561.4525824964
296,2137374.76088208,2560.90100191294
296,2206322.33381376,2560.34942132949
296,2275269.90674544,2559.79784074604
296,2344217.47967712,2559.24626016258
296,2413165.0526088,2558.69467957913
296,2482112.62554048,2558.14309899568
296,2551060.19847216,2557.59151841222
296,2620007.77140384,2557.03993782877
296,2688955.34433552,2556.48835724532
296,2757902.9172672,2555.93677666186
296,2826850.49019888,2555.38519607841
296,2895798.06313056,2554.83361549496
296,2964745.63606224,2554.2820349115
296,3033693.20899392,2554
296,3102640.7819256,2554
296,3171588.35485728,2554
296,3240535.92778896,2554
296,3309483.50072064,2554
296,3378431.07365232,2554
296,3447378.646584,2554
